label;designation;row;sound_dB;location
tree;1;3;39.3;21,72136°S, 165,82783°E
tree;2;3;43.8;21,72140°S, 165,82811°E
tree;3;3;63.8;21,72141°S, 165,82821°E
speaker;1;3;;21,72143°S, 165,82837°E
tree;4;3;66.7;21,72145°S, 165,82848°E
tree;5;3;40.7;21,72147°S, 165,82859°E
tree;6;3;34.5;21,72150°S, 165,82887°E
tree;1;8;66.8;21,72168°S, 165,82787°E
speaker;2;8;;21,72170°S, 165,82798°E
tree;2;8;73.2;21,72171°S, 165,82805°E
tree;3;8;52.1;21,72173°S, 165,82816°E
amp;1;8;;21,72176°S, 165,82832°E
tree;4;8;52;21,72178°S, 165,82848°E
tree;5;8;54.5;21,72178°S, 165,82856°E
speaker;3;8;;21,72179°S, 165,82867°E
tree;6;8;65.1;21,72182°S, 165,82883°E
tree;1;13;57.2;21,72201°S, 165,82779°E
tree;2;13;58;21,72204°S, 165,82807°E
tree;3;13;66.4;21,72205°S, 165,82817°E
speaker;4;13;;21,72207°S, 165,82829°E
tree;4;13;63.2;21,72209°S, 165,82845°E
tree;5;13;57.3;21,72210°S, 165,82852°E
tree;6;13;32.3;21,72213°S, 165,82880°E
